State,Civilian_labor_force_2016,Employed_2016,Unemployed_2016,Unemployment_rate_2016,"Less than a high school diploma, 2012-2016","High school diploma only, 2012-2016","Some college or associate's degree, 2012-2016","Bachelor's degree or higher, 2012-2016","Percent of adults with less than a high school diploma, 2012-2016","Percent of adults with a high school diploma only, 2012-2016","Percent of adults completing some college or associate's degree, 2012-2016","Percent of adults with a bachelor's degree or higher, 2012-2016",Teen Birth Rate 2016
US,"2,173,175","2,045,624","127,551",5.9,"27,818,380","58,820,411","62,242,569","64,767,787",13,27.5,29.1,30.3,28.4
AL,"363,047","337,947","25,100",6.9,"496,036","1,009,593","972,703","783,076",15.2,31,29.8,24,25.8
AK,"3,225,703","3,052,788","172,915",5.4,"36,032","130,511","168,631","135,525",7.7,27.7,35.8,28.8,23.6
AZ,"1,342,561","1,289,549","53,012",3.9,"611,243","1,078,358","1,509,609","1,241,425",13.8,24.3,34,28,34.6
AR,"19,093,658","18,048,827","1,044,831",5.5,"292,228","683,886","573,031","424,446",14.8,34.7,29,21.5,17
CA,"2,893,268","2,798,928","94,340",3.3,"4,572,963","5,260,904","7,544,058","8,176,487",17.9,20.6,29.5,32,17.8
CO,"1,904,556","1,806,575","97,981",5.1,"323,691","780,033","1,096,896","1,389,730",9,21.7,30.6,38.7,9.4
CT,"473,881","452,434","21,447",4.5,"242,932","673,220","611,658","938,319",9.9,27.3,24.8,38,19.5
DE,"9,846,000","9,373,059","472,941",4.8,"71,746","199,461","174,387","195,321",11.2,31.1,27.2,30.5,19.3
FL,"4,926,945","4,662,849","264,096",5.4,"1,807,386","4,111,029","4,245,476","3,929,796",12.8,29.2,30.1,27.9,23.6
GA,"684,167","664,032","20,135",2.9,"932,810","1,850,601","1,867,961","1,938,090",14.2,28.1,28.3,29.4,19.2
HI,"812,856","782,279","30,577",3.8,"84,943","270,583","312,218","305,201",8.7,27.8,32.1,31.4,20.1
ID,"6,549,991","6,169,560","380,431",5.8,"105,170","289,085","378,367","274,984",10,27.6,36.1,26.2,18.7
IL,"3,327,139","3,180,104","147,035",4.4,"1,008,608","2,287,126","2,487,681","2,834,869",11.7,26.5,28.9,32.9,23.6
IA,"1,696,113","1,634,964","61,149",3.6,"169,966","656,680","672,763","559,431",8.3,31.9,32.7,27.2,17.2
KS,"1,485,336","1,425,413","59,923",4,"182,049","499,895","602,750","593,801",9.7,26.6,32.1,31.6,21.9
KY,"2,012,279","1,909,158","103,121",5.1,"456,180","990,322","849,406","674,165",15.4,33.3,28.6,22.7,30.9
LA,"2,125,934","1,997,358","128,576",6,"496,210","1,038,591","827,303","703,875",16.2,33.9,27,23,30.6
ME,"692,154","665,911","26,243",3.8,"77,305","317,373","281,818","280,570",8.1,33.2,29.4,29.3,14.7
MD,"3,178,646","3,037,763","140,883",4.4,"420,756","1,030,305","1,044,867","1,556,711",10.4,25.4,25.8,38.4,15.9
